X,CH1,CH2,
0,4.88e-01,0.00e+00,
1,5.20e-01,8.00e-02,
2,5.20e-01,0.00e+00,
3,4.88e-01,8.00e-02,
4,7.20e-01,0.00e+00,
5,3.52e-01,8.00e-02,
6,4.64e-01,0.00e+00,
7,5.44e-01,8.00e-02,
8,3.04e-01,8.00e-02,
9,7.04e-01,0.00e+00,
10,5.28e-01,8.00e-02,
11,4.88e-01,0.00e+00,
12,4.88e-01,0.00e+00,
13,5.20e-01,8.00e-02,
14,4.88e-01,0.00e+00,
15,5.20e-01,8.00e-02,
16,4.88e-01,0.00e+00,
17,5.20e-01,8.00e-02,
18,4.88e-01,0.00e+00,
19,5.28e-01,8.00e-02,
20,4.88e-01,0.00e+00,
21,5.20e-01,8.00e-02,
22,4.88e-01,0.00e+00,
23,5.20e-01,8.00e-02,
24,4.88e-01,0.00e+00,
25,5.28e-01,8.00e-02,
26,4.88e-01,8.00e-02,
27,5.20e-01,0.00e+00,
28,7.04e-01,0.00e+00,
29,2.64e-01,8.00e-02,
30,7.04e-01,0.00e+00,
31,4.32e-01,8.00e-02,
32,5.60e-01,0.00e+00,
33,4.56e-01,8.00e-02,
34,3.92e-01,0.00e+00,
35,6.32e-01,8.00e-02,
36,2.00e-01,8.00e-02,
37,6.72e-01,0.00e+00,
38,6.96e-01,0.00e+00,
39,2.48e-01,8.00e-02,
40,1.36e-01,0.00e+00,
41,6.96e-01,8.00e-02,
42,2.64e-01,0.00e+00,
43,6.16e-01,8.00e-02,
44,4.16e-01,8.00e-02,
45,6.16e-01,0.00e+00,
46,7.76e-01,0.00e+00,
47,9.60e-02,2.56e+00,
48,4.48e-01,2.48e+00,
49,5.68e-01,2.56e+00,
50,3.44e-01,2.54e+00,
51,5.92e-01,0.00e+00,
52,7.12e-01,0.00e+00,
53,1.52e-01,8.00e-02,
54,2.80e-01,6.00e-02,
55,6.64e-01,0.00e+00,
56,4.00e-01,8.00e-02,
57,6.72e-01,0.00e+00,
58,2.00e-01,8.00e-02,
59,6.96e-01,0.00e+00,
60,3.68e-01,8.00e-02,
